serve,cluster,vx0,vy0,vz0,wx0,wy0,wz0,vhx,vhy,vhz,whx,why,whz,pred_y,pred_z,pred_t,true_y,true_z,true_t,n_frames,pred_oracle_y,pred_oracle_z
55,flat,5.7005,-0.1547,0.9786,30.23,12.26,-5.07,5.7068,-0.1661,1.0894,62.0104,72.647,8.6769,-0.1318,0.1709,0.5663,-0.108,0.1841,0.5776,43,-0.1077,0.1725
56,backspin,4.9787,-0.2337,0.8128,-16.6,-185.21,-22.64,5.0095,-0.3475,0.7917,-1100.0,-135.2252,106.3239,0.0507,0.1284,0.6129,-0.1179,0.1255,0.6701,45,-0.2091,0.1098
57,topspin,5.2625,0.2477,0.9722,8.3,408.09,-4.92,5.2833,0.3745,0.9885,1100.0,479.2312,-124.8534,-0.1481,0.0619,0.5645,0.0856,0.192,0.5235,36,0.1336,0.1745
59,backspin,5.2884,-0.0079,0.7867,4.38,-237.19,5.36,5.2896,0.0263,0.7481,705.205,-230.9669,-44.6893,-0.1331,0.1545,0.5872,-0.0032,0.1702,0.6134,47,0.0201,0.1533
60,topspin,5.5112,0.0081,0.9071,3.1,326.64,12.59,5.4783,-0.2635,0.8932,-408.8305,315.5108,257.1096,0.3799,0.1329,0.5436,0.0105,0.1859,0.5257,36,-0.0892,0.1656
61,flat,5.8481,-0.1603,0.7841,-25.29,31.64,-48.67,5.8341,-0.1981,0.7074,-1100.0,36.5342,25.9536,0.0257,0.1508,0.5217,-0.0848,0.1643,0.566,40,-0.1115,0.1411
62,backspin,4.7845,0.235,0.7916,-2.25,-289.85,-9.28,4.8019,0.1482,0.8419,-610.017,-259.8618,77.1078,0.3276,0.1161,0.6621,0.1149,0.1237,0.6921,47,0.0732,0.1211
63,topspin,5.2446,-0.0923,0.9,3.25,298.83,-29.26,5.2502,-0.1234,0.8417,1100.0,262.7179,-57.428,-0.3057,0.0665,0.5769,-0.0695,0.1655,0.5586,37,-0.0806,0.1536
64,flat,5.857,0.1305,0.9572,1.75,-14.53,27.8,5.8148,0.0728,0.8274,-496.3072,-56.9612,71.4672,0.2239,0.1719,0.5331,0.0808,0.1895,0.5559,44,0.0638,0.1693
65,backspin,5.1452,0.1178,0.8103,7.72,-234.62,-9.72,5.1236,-0.2524,0.7529,-493.2387,-284.0066,228.64,0.2738,0.1443,0.6165,0.0355,0.1634,0.6354,47,-0.1206,0.1322
66,topspin,6.2114,0.0483,0.8324,11.91,322.35,5.41,6.1597,0.2724,0.7847,-324.709,283.4604,-148.9835,0.1462,0.1678,0.4841,0.0095,0.1922,0.4799,35,0.0822,0.1768
67,flat,4.9099,0.2327,0.8938,2.63,31.76,-9.43,4.9361,0.273,0.8315,-68.3704,-6.039,-3.3282,0.2329,0.0235,0.6951,0.1029,0.0281,0.7039,42,0.1165,0.0321
68,backspin,5.1623,0.0718,0.9401,-13.96,-201.81,11.6,5.1488,0.1815,0.894,413.292,-198.5042,-42.2624,-0.0727,0.1635,0.6137,0.065,0.1779,0.6332,48,0.1101,0.1566
69,topspin,6.1186,-0.0825,0.9174,20.15,314.65,-7.39,6.1683,-0.1851,0.9291,80.7242,352.938,81.5346,-0.0799,0.1849,0.4719,-0.0568,0.197,0.487,36,-0.0974,0.1839
71,backspin,5.1764,0.0116,0.8962,-18.78,-192.47,8.43,5.1969,0.1274,0.9555,144.5324,-130.2651,-59.135,-0.0962,0.153,0.6302,0.0389,0.1709,0.6332,47,0.075,0.1625
72,topspin,6.2253,-0.2302,0.8632,-0.74,308.55,-20.68,6.1907,-0.308,0.9641,-1066.6711,405.5357,68.7379,0.0692,0.1444,0.4841,-0.1008,0.1976,0.4754,35,-0.134,0.1806
73,flat,5.5119,-0.1389,0.7989,-0.72,46.49,-38.23,5.4631,-0.3083,0.9217,-1100.0,180.4604,99.5493,0.1128,0.1244,0.5535,-0.1031,0.126,0.612,40,-0.1746,0.1237
74,backspin,5.2002,0.1037,0.8607,12.8,-248.14,37.46,5.1643,0.2847,0.8463,1053.2935,-223.4083,-113.7863,-0.0624,0.1538,0.5906,0.0754,0.1759,0.6241,48,0.1915,0.1571
75,topspin,6.1008,0.089,0.9105,-11.31,353.51,-3.87,6.0817,0.2317,1.1493,-380.3011,557.7626,-97.8045,0.1459,0.1759,0.4707,0.0407,0.1978,0.4799,35,0.085,0.1914
76,flat,5.6932,-0.0598,0.8667,-1.53,21.56,23.96,5.6966,-0.3002,0.9106,-1100.0,91.747,170.98,0.17,0.1514,0.535,0.0002,0.167,0.5822,41,-0.0939,0.1576
77,backspin,5.2615,-0.0595,0.9189,9.77,-267.85,-45.16,5.2392,-0.04,0.8669,372.1327,-297.0618,-63.0808,-0.1671,0.1673,0.6,-0.0869,0.1841,0.6107,50,-0.0783,0.1677
78,topspin,5.2378,-0.0551,0.9651,-22.87,286.48,-18.58,5.2126,0.0301,0.9925,1100.0,320.0207,-104.431,-0.2908,0.0777,0.5769,-0.0124,0.1803,0.5567,38,0.0231,0.1661
79,flat,5.6132,0.0418,0.8552,-10.82,37.5,-18.89,5.6105,-0.0426,0.9883,-64.1325,113.0632,46.5684,0.1121,0.1499,0.5697,0.0138,0.1552,0.5949,41,-0.0189,0.1436
80,backspin,4.9446,0.2495,0.8205,-18.18,-294.24,46.53,4.9738,0.238,0.9148,-439.1725,-222.7478,74.4177,0.3541,0.1396,0.6442,0.2057,0.1551,0.6634,48,0.1926,0.1555
81,topspin,6.2427,0.1945,0.8443,2.4,331.99,47.71,6.2864,0.0553,0.9317,-1100.0,351.9913,226.5513,0.3773,0.1353,0.4835,0.1061,0.1967,0.4712,35,0.0523,0.1828
82,flat,5.6226,-0.2134,0.9666,-18.98,-10.36,-33.37,5.5653,-0.0088,1.0155,678.2875,-19.6516,-168.0888,-0.3358,0.1662,0.5545,-0.1074,0.1821,0.5864,44,-0.036,0.1658
